age,workclass,fnlwgt,education,education_num,name,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
54,Private,140359,7th-8th,4,x895205343,Divorced,Machine-op-inspct,Unmarried,White,Female,0,3900,40,United-States,0
71,NA,100820,HS-grad,9,x080433757,Married-civ-spouse,NA,Husband,White,Male,0,2489,15,United-States,0
71,Private,110380,HS-grad,9,x754550162,Married-civ-spouse,Sales,Husband,White,Male,0,2467,52,United-States,0
23,Private,162945,HS-grad,9,x521227284,Married-civ-spouse,Sales,Husband,White,Male,0,2377,,United-States,0
49,Self-emp-inc,141058,Some-college,10,x291908010,Divorced,Exec-managerial,Not-in-family,White,Male,0,2339,50,United-States,0
28,State-gov,381789,Some-college,10,x876769214,Separated,Exec-managerial,Own-child,White,Male,0,2339,40,United-States,0
65,NA,143118,HS-grad,,x464515298,Widowed,NA,Unmarried,White,Female,0,2206,10,United-States,0
54,Private,172281,HS-grad,,x485872928,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2051,,United-States,0
50,Self-emp-not-inc,105010,HS-grad,9,x673899955,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2051,20,United-States,0
31,Private,291052,Some-college,10,x177196899,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2051,40,United-States,0
30,Private,84119,Some-college,10,x377588660,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,United-States,0
20,Private,315877,HS-grad,9,x185273618,Never-married,Other-service,Unmarried,White,Male,0,2001,40,United-States,0
28,Private,184723,Bachelors,13,x134026046,Never-married,Tech-support,Not-in-family,White,Female,0,1980,35,United-States,0
41,Local-gov,33068,Masters,14,x803446273,Divorced,Prof-specialty,Not-in-family,White,Male,0,1974,40,United-States,0
34,Private,258666,Assoc-voc,11,x629672618,Never-married,Tech-support,Not-in-family,White,Female,0,1974,40,United-States,0
51,Federal-gov,163671,Bachelors,13,x480514670,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,40,United-States,0
58,Private,225394,HS-grad,9,x116090074,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1902,40,United-States,0
26,Private,397317,Masters,14,x294106958,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,0
28,Local-gov,154863,HS-grad,9,x993832241,Never-married,Protective-serv,Other-relative,Black,Male,0,1876,40,United-States,0
26,Private,82246,Bachelors,13,x201456407,Never-married,Exec-managerial,Not-in-family,White,Male,0,1876,38,United-States,0
26,Self-emp-not-inc,177858,Bachelors,13,x566112275,Divorced,Exec-managerial,Not-in-family,White,Male,0,1876,38,United-States,0
24,Private,137591,Some-college,10,x566067454,Never-married,Sales,Own-child,White,Male,0,1762,40,United-States,0
24,Private,276851,HS-grad,9,x578308506,Divorced,Protective-serv,Own-child,White,Female,0,1762,40,United-States,0
30,Private,212237,Bachelors,13,x377103443,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1740,45,United-States,0
33,Self-emp-not-inc,155151,Some-college,10,x435285402,Married-civ-spouse,Sales,Husband,White,Male,0,1740,50,United-States,0
32,Private,199655,Some-college,10,x003048767,Married-civ-spouse,Adm-clerical,Wife,Other,Female,0,1740,40,NA,0
62,Self-emp-not-inc,197353,HS-grad,9,x910401630,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1740,40,United-States,0
45,Private,227791,Some-college,10,x069621433,Married-civ-spouse,Sales,Husband,White,Male,0,1740,50,United-States,0
75,Self-emp-not-inc,205860,Some-college,10,x913308196,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,1735,40,United-States,0
32,State-gov,213389,Some-college,10,x702090246,Divorced,Protective-serv,Unmarried,White,Female,0,1726,38,United-States,0
39,Private,52978,Some-college,10,x638539321,Divorced,Other-service,Not-in-family,White,Female,0,1721,55,United-States,0
19,Local-gov,210308,Some-college,10,x275050746,Never-married,Adm-clerical,Own-child,White,Female,0,1721,30,United-States,0
25,Local-gov,190107,HS-grad,9,x572933667,Never-married,Farming-fishing,Own-child,White,Male,0,1719,16,United-States,0
35,Private,54317,HS-grad,9,x444327908,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1672,50,United-States,0
36,Local-gov,241998,Bachelors,13,x485984607,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1672,50,United-States,0
54,Private,145419,HS-grad,9,x693826332,Married-civ-spouse,Sales,Husband,White,Male,0,1672,50,United-States,0
47,Self-emp-not-inc,107231,Assoc-acdm,12,x486867849,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1672,65,United-States,0
31,Private,207537,HS-grad,9,x974989113,Divorced,Craft-repair,Own-child,White,Male,0,1669,50,United-States,0
23,Private,435835,HS-grad,9,x928590868,Never-married,Sales,Not-in-family,White,Male,0,1669,55,United-States,0
34,Private,185041,HS-grad,9,x310610834,Never-married,Prof-specialty,Not-in-family,White,Female,0,1669,45,United-States,0
38,Local-gov,30509,Masters,14,x012456437,Never-married,Prof-specialty,Not-in-family,White,Female,0,1669,55,United-States,0
81,Self-emp-not-inc,123959,Bachelors,13,x475000600,Widowed,Prof-specialty,Not-in-family,White,Female,0,1668,3,Hungary,0
68,Local-gov,144761,HS-grad,9,x302301129,Widowed,Protective-serv,Not-in-family,White,Male,0,1668,20,United-States,0
46,Private,138370,7th-8th,4,x944143322,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,1651,40,China,0
19,Private,93604,7th-8th,4,x393625322,Never-married,Craft-repair,Own-child,White,Male,0,1602,32,United-States,0
18,NA,214989,Some-college,10,x805330612,Never-married,NA,Own-child,White,Female,0,1602,24,United-States,0
19,NA,218471,HS-grad,9,x794357666,Never-married,NA,Own-child,White,Female,0,1602,30,United-States,0
21,State-gov,145651,Some-college,10,x459427991,Never-married,Sales,Own-child,Black,Female,0,1602,12,United-States,0
57,Self-emp-not-inc,118806,1st-4th,2,x512805579,Widowed,Craft-repair,Other-relative,White,Female,0,1602,45,Columbia,0
21,Private,301408,Some-college,10,x542298799,Never-married,Sales,Own-child,White,Female,0,1602,22,United-States,0
42,Private,191712,Bachelors,13,x687405857,Divorced,Sales,Not-in-family,White,Male,0,1590,40,United-States,0
50,Federal-gov,176969,HS-grad,9,x072208109,Divorced,Prof-specialty,Not-in-family,White,Male,0,1590,40,United-States,0
35,Private,140915,Bachelors,13,x404308799,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,0,1590,40,South,0
35,Private,111387,Some-college,10,x547987045,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,1579,40,United-States,0
41,Private,289886,5th-6th,3,x840885840,Married-civ-spouse,Other-service,Husband,Other,Male,0,1579,40,Nicaragua,0
31,Private,164243,Some-college,10,x468535965,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1579,40,United-States,0
26,Self-emp-not-inc,221626,HS-grad,9,x598868261,Married-civ-spouse,Other-service,Wife,White,Female,0,1579,20,United-States,0
53,NA,150393,HS-grad,9,x024631713,Never-married,NA,Not-in-family,White,Male,0,1504,35,United-States,0
34,Self-emp-not-inc,156809,Some-college,10,x470275590,Never-married,Craft-repair,Not-in-family,White,Male,0,1504,60,United-States,0
47,Private,189123,11th,7,x689801726,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1485,58,United-States,0
40,Private,316820,Some-college,10,x024264474,Married-civ-spouse,Other-service,Husband,White,Male,0,1485,40,United-States,0
47,Private,209460,Some-college,10,x229256800,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1485,47,United-States,0
